Name,Provider,Creations,Category
Almonds,Tree House,Harvest Bowl,Other
Apples,Stemilt Growers,"Harvest Bowl,Roasted Squash and Blue Cheese",Fruit/Vegetable
Arugula,Jay Leaf,Elote Bowl,Fruit/Vegetable
Avocado,,Guacamole Greens,Fruit/Vegetable
Basil,Bright Farms,Spring Chicken,Fruit/Vegetable
Bell Peppers,Irigoyen Farms,Elote Bowl,Fruit/Vegetable
Blue cheese,FireFly Farms,Roasted Squash and Blue Cheese,Dairy
Blueberries,Little Buck Organics,,Fruit/Vegetable
Bread,Lyon Bakery,,Other
Bread Crumbs,,Chicken Pesto Parm,Other
Broccoli,,Chicken Pesto Parm,Fruit/Vegetable
Burrata,Belgioioso,,Dairy
Carrots,Kern Ridge,Spring Chicken,Fruit/Vegetable
Cashew Butter,Once Again,,Other
Celery,Lake Side Organics,,Fruit/Vegetable
Chicken,Alten Harim,"Harvest Bowl,Chicken Pesto Parm,Guacamole Greens,Spring Chicken",Other
Chickpeas,Timeless Seed,,Other
Cilantro,C+B Farms,Elote Bowl,Fruit/Vegetable
Cucumbers,Oakes Farm,,Fruit/Vegetable
Domestic Parmesan Cheese,Belgioioso,Chicken Pesto Parm,Dairy
Domestic parmesan crisps,Raisin D'etre,Spring Chicken,Dairy
Eggs,NestFresh,,Other
Extra Virgin Oil,Poilt Farms,"Roasted Squash and Blue Cheese,Harvest Bowl",Other
Feta cheese,MT View Farms,,Dairy
Garlic,Christopher Ranch,,Fruit/Vegetable
Goat cheese,FireFly Farms,"Harvest Bowl,Elote Bowl",Dairy
Grape Tomatoes,Lipman Family Farms,"Chicken Pesto Parm,Guacamole Greens,Elote Bowl",Fruit/Vegetable
Green Beans,Garden State Farms,,Fruit/Vegetable
Honey,Hungry Hill Farms,,Other
Hot Sauce,,Chicken Pesto Parm,Other
Jalapenos,Oakes Farm,,Fruit/Vegetable
Jumbo Raisins,Sunview Vineyard,Roasted Squash and Blue Cheese,Fruit/Vegetable
Kale,Marolda Farms,"Harvest Bowl,Roasted Squash and Blue Cheese,Spring Chicken",Fruit/Vegetable
Leeks,Lake Side Organics,,Fruit/Vegetable
Lemon juice,Lambeth Groves,,Fruit/Vegetable
Lemons,Bee Sweet,,Fruit/Vegetable
Lentils,Timeless Seed,,Other
Lime,,Guacamole Greens,Fruit/Vegetable
Lime cilantro jalapeno vinaigrette,,"Elote Bowl,Guacamole Greens",Other
Lime juice,Lambeth Groves,,Fruit/Vegetable
Maple Syrup,Backbone Mountain Farm,,Other
Mesclun,Jay Leaf,"Guacamole Greens,Spring Chicken",Fruit/Vegetable
Mustard,Golds,,Fruit/Vegetable
Onion,,Guacamole Greens,Fruit/Vegetable
Parsley,C+B Farms,,Fruit/Vegetable
Parsnips,Lake Side Organics,,Fruit/Vegetable
Pesto Vinaigrette,,"Chicken Pesto Parm,Spring Chicken",Other
Portbella Mushrooms,Mother Earth,,Fruit/Vegetable
Quinoa,Lundberg,"Chicken Pesto Parm,Elote Bowl",Other
Red Beets,Sunny Harvest Farms,,Fruit/Vegetable
Red Cabbage,Sunny Harvest Farms,Elote Bowl,Fruit/Vegetable
Rice vinegar,Marukan,"Roasted Squash and Blue Cheese,Chicken Pesto Parm,Harvest Bowl",Other
Scallions,Oakes Farm,,Fruit/Vegetable
Sesame Oil,Kikkoman,,Other
Spicy Sunflower Seeds,,Elote Bowl,Other
Spinach,Jay Leaf,Chicken Pesto Parm,Fruit/Vegetable
Steelhead,Pacific Seafood,,Other
Sunchokes,Harvest Sensation,,Fruit/Vegetable
Sweet corn,Pioneer Growers,Elote Bowl,Fruit/Vegetable
Sweet potatoes,Glover Farms,Harvest Bowl,Fruit/Vegetable
Tahini,Once Again,,Other
Tamari,Yamasa,,Other
Tofu,Fresh Tofu,,Other
Tortilla Chips,,"Guacamole Greens,Elote Bowl",Other
Walnuts,Gibson Farms,Roasted Squash and Blue Cheese,Other
White miso,Miso Master,,Other
White Mushrooms,Mother Earth,,Fruit/Vegetable
Wild Rice,Lundberg,"Harvest Bowl,Roasted Squash and Blue Cheese",Other
Winter Squash,Oakes Farm,Roasted Squash and Blue Cheese,Fruit/Vegetable
Yogurt,Stonyfield,,Dairy
Zucchini (Gold),Shlagel Farms,,Fruit/Vegetable
Zucchini (Green),Shlagel Farms,Spring Chicken,Fruit/Vegetable
